network,station,channel
SS,07357,DPZ
SS,17723,DP2
SS,09220,DPZ
SS,15367,DP1
SS,10454,DPZ
SS,16870,DP2
SS,10890,DP2
SS,18011,DP2
SS,17016,DP2
SS,10421,DP1
SS,10798,DPZ
SS,10935,DP2
SS,17613,DPZ
SS,10893,DP1
SS,10753,DP2
SS,10399,DP1
SS,10221,DP2
SS,17892,DP2
SS,15753,DPZ
SS,10330,DP2
SS,16694,DP2
SS,15884,DPZ
SS,17456,DP1
SS,10813,DP1
SS,17542,DPZ
SS,14972,DPZ
SS,17442,DP2
SS,10890,DPZ
SS,10197,DPZ
SS,17373,DP1
SS,17878,DP2
SS,16707,DPZ
SS,09654,DP2
SS,15967,DPZ
SS,10813,DP1
SS,15288,DP2
SS,17024,DP1
SS,17442,DP2
SS,17273,DPZ
SS,15248,DP2
SS,16980,DP1
SS,10706,DPZ
SS,10778,DPZ
SS,14537,DP1
SS,14479,DP1
SS,16490,DP1
SS,16878,DPZ
SS,17930,DP1
SS,17859,DP2
SS,10485,DP2
SS,10202,DP2
SS,18308,DPZ
SS,14768,DP2
SS,04909,DP1
SS,18365,DP1
SS,04973,DP1
SS,15604,DP1
SS,20193,DPZ
SS,05038,DPZ
SS,05283,DP2
SS,18739,DP2
SS,17273,DP1
SS,04275,DPZ
SS,18462,DPZ
SS,15967,DP1
SS,20247,DPZ
SS,15967,DP1
SS,10893,DPZ
SS,10800,DP1
SS,17952,DP1
SS,10830,DPZ
SS,10188,DP2
SS,09268,DP1
SS,09228,DP1
SS,17858,DP2
SS,10222,DPZ
SS,10386,DP1
SS,15884,DP1
SS,09218,DPZ
SS,16707,DP1
SS,14972,DP2
SS,05038,DP1
SS,10800,DP1
SS,15869,DP2
SS,09448,DPZ
SS,08936,DPZ
SS,04916,DPZ
SS,10740,DPZ
SS,10252,DP2
SS,18272,DP1
SS,17723,DP1
SS,09501,DPZ
SS,10190,DP2
SS,10330,DPZ
SS,10399,DPZ
SS,05230,DP1
SS,18340,DPZ
SS,20193,DP1
SS,14605,DPZ
SS,05283,DPZ
SS,09515,DP1
SS,10820,DP1
SS,16507,DP2
SS,17442,DPZ
SS,04275,DP1
SS,09410,DP1
SS,10915,DPZ
SS,18157,DP2
SS,18895,DP2
SS,17130,DP1
SS,09806,DP1
SS,10399,DP2
SS,18895,DP2
SS,10706,DP2
SS,17892,DPZ
SS,10813,DPZ
SS,05441,DPZ
SS,07357,DP2
SS,07499,DPZ
SS,14564,DPZ
SS,09332,DP1
SS,10916,DP2
SS,17456,DP2
SS,14578,DP2
SS,14712,DP2
SS,09275,DP2
SS,15604,DPZ
SS,10222,DPZ
SS,18352,DPZ
SS,16798,DP1
SS,09332,DPZ
SS,04548,DP2
SS,10230,DPZ
SS,18352,DP2
SS,17016,DP2
SS,08936,DP1
SS,09637,DP1
SS,10495,DP2
SS,14768,DP1
SS,18042,DP2
SS,18011,DP2
SS,10740,DP1
SS,14768,DPZ
SS,16490,DP2
SS,09431,DP1
SS,10817,DP2
SS,10495,DP2
SS,05179,DPZ
SS,14764,DP1
SS,09275,DPZ
SS,10278,DP1
SS,16006,DP2
SS,18157,DP2
SS,14411,DP1
